Temperature,Humidity,SoilMoisture,Sunlight,Precipitation,Crop
34,85,52,852,0,Barley
23,53,45,749,1,Mustard
20,60,54,906,5,Maize Hybrid
20,72,59,746,2,Mint
25,56,55,843,0,Wheat Durum
28,59,58,936,3,Ber
21,83,59,966,0,Sorghum Hybrid
20,71,53,892,5,Sponge Gourd
26,60,37,813,2,Plum
23,66,63,936,5,Capsicum Red
31,74,51,740,3,Masoor Dal
23,64,40,788,5,Toria
30,61,48,808,3,Capsicum Red
21,72,65,946,1,Chilli Hybrid
25,74,41,709,5,Wheat Durum
34,65,37,717,3,Papaya
28,85,48,963,3,Lentil
29,69,46,951,0,Peas
23,59,62,853,1,Banana
27,67,55,944,3,Mango
21,56,45,772,3,Radish
34,52,47,710,0,Cauliflower Late
21,78,50,806,4,Pear
26,74,54,790,5,Sugar Beet
26,57,57,728,3,Beetroot
20,61,57,859,0,Sesame Black
20,50,42,900,3,Sorghum Hybrid
22,80,37,901,4,Amla
31,73,59,954,4,Plum
29,64,64,749,2,Beetroot
33,57,41,845,4,Lettuce
29,52,41,900,3,Spinach Local
34,83,40,881,0,Grapes
29,75,43,791,1,Ber
31,57,37,942,5,Pearl Millet
26,69,49,927,3,Amla
30,54,47,890,5,Ber
25,85,60,899,1,Papaya
34,60,40,912,1,Beetroot
24,55,43,880,4,Chilli Hybrid
28,55,57,918,5,Lettuce
21,72,61,962,1,Lettuce
35,75,62,943,1,Spinach Local
23,66,65,756,2,Lettuce
30,53,61,947,5,Chickpea
28,61,40,745,1,Lentil Red
31,85,44,891,4,Grapes
26,66,49,736,5,Plum
31,72,53,965,1,Cucumber
24,67,43,914,0,Barley
27,68,53,808,2,Cowpea
29,77,36,771,4,Bitter Gourd Hybrid
24,80,41,836,1,Mint
29,68,53,717,2,Pearl Millet
23,80,65,738,1,Pumpkin Orange
27,66,51,741,1,Peas
32,51,57,893,0,Coriander Hybrid
20,82,62,828,4,Sunflower
29,74,43,709,1,Toria
24,71,51,970,3,Mango
33,51,38,953,2,Coriander Hybrid
34,73,48,923,5,Grapes
32,52,63,735,5,Soybean
30,53,42,807,5,Cherry
30,52,38,888,3,Mango
29,71,49,834,2,Paddy
34,76,58,902,4,Pumpkin Orange
31,61,37,948,2,Cucumber
26,54,38,868,1,Bitter Gourd Hybrid
22,59,37,940,3,Niger
22,83,35,927,4,Zucchini
21,80,43,963,0,Cabbage Early
22,74,64,786,1,Brinjal Long
24,53,35,793,1,Pumpkin Orange
34,75,54,935,1,Lettuce
24,74,54,701,2,Cucumber
30,76,56,726,0,Bottle Gourd Long
33,60,47,812,0,Fenugreek Green
21,59,39,751,0,Cucumber
22,50,54,713,4,Radish
29,55,61,889,1,Mulberry
20,54,54,909,4,Sponge Gourd
23,59,60,716,0,Safflower
31,78,40,886,4,Zucchini
33,71,48,935,4,Mulberry
25,65,43,865,0,Maize
25,68,60,799,4,Mango
20,57,36,816,0,Guava
35,67,62,830,0,Gram
30,63,53,762,2,Sunflower
27,73,36,817,4,Celery
27,64,51,852,1,Pumpkin Orange
29,78,57,725,4,Rice Basmati
21,82,54,923,5,Mustard
28,78,39,761,5,Sugarcane
30,71,38,851,1,Safflower
25,75,57,761,3,Guava
23,53,54,771,2,Pearl Millet
34,60,37,851,5,Soybean Hybrid
33,60,57,834,4,Moong Dal
25,70,50,964,5,Linseed
21,53,58,963,3,Sugar Beet
29,51,52,829,3,Safflower
28,82,51,949,3,Ridge Gourd Green
20,60,53,829,3,Sorghum Hybrid
23,83,40,936,3,Grapes
20,81,38,843,1,Spinach Local
24,60,35,837,2,Broccoli
27,54,44,932,5,Sorghum Hybrid
24,56,46,725,1,Safflower
30,75,45,960,3,Toria
22,61,35,802,4,Apple
26,77,35,825,2,Rice Basmati
30,78,44,808,1,Soybean
31,60,61,795,2,Guava
32,62,42,886,3,Paddy
27,71,43,917,0,Litchi
20,58,58,737,4,Masoor Dal
29,82,40,963,3,Strawberry
30,78,60,936,2,Sunflower
30,83,59,806,2,Ridge Gourd Green
28,71,47,866,5,Castor
24,65,51,919,2,Chickpea
20,61,62,744,0,Cucumber
22,72,37,850,2,Rice Basmati
34,85,60,753,4,Fenugreek Green
31,75,43,916,1,Mustard
23,66,54,952,1,Rice
23,56,44,918,2,Pear
24,85,44,757,0,Bitter Gourd Hybrid
25,72,44,961,5,Mango
33,85,45,821,2,Amla
30,80,45,810,0,Guava
33,79,59,960,4,Cucumber
34,83,57,872,0,Sugar Beet
22,81,57,815,0,Soybean Hybrid
32,55,62,718,4,Peas
29,64,47,882,4,Pearl Millet
22,76,42,958,5,Soybean
23,61,63,786,2,Lettuce
29,81,58,705,1,Plum
24,79,59,720,4,Ber
23,51,35,909,3,Sponge Gourd
33,65,63,811,1,Safflower
25,74,51,711,5,Cauliflower Late
21,59,51,859,3,Grapes
28,63,65,759,3,Soybean Hybrid
23,57,45,729,2,Cabbage Early
31,51,38,876,3,Sugar Beet
31,60,41,722,3,Wheat Durum
24,72,44,966,4,Barley
24,60,35,963,2,Bitter Gourd Hybrid
20,75,55,842,5,Mulberry
30,55,63,751,5,Pear
35,64,58,817,4,Pearl Millet
31,67,54,925,1,Groundnut Red
23,81,49,727,0,Maize
25,67,45,733,0,Coriander Hybrid
34,77,38,738,1,Guava
23,54,50,840,0,Groundnut Red
32,71,59,875,2,Rice
32,73,46,782,5,Beetroot
24,83,56,913,5,Pomegranate
31,62,42,809,0,Pineapple
25,57,64,744,3,Soybean Hybrid
28,54,63,729,3,Coriander Hybrid
23,85,39,913,1,Radish
28,58,47,795,3,Pineapple
34,75,49,861,2,Banana
32,81,58,879,2,Chickpea
30,77,55,715,2,Mango
31,68,61,841,3,Barley
33,54,50,733,5,Sunflower
31,76,60,953,4,Pineapple
35,52,60,779,0,Cabbage Early
27,59,53,933,3,Bitter Gourd Hybrid
31,71,41,782,3,Papaya
24,76,62,891,2,Bitter Gourd Hybrid
29,79,38,839,1,Rice
23,53,37,824,3,Apple
34,52,56,718,5,Masoor Dal
22,79,62,768,5,Papaya
28,70,50,773,2,Broccoli
24,54,46,757,3,Pomegranate
21,77,49,812,2,Cherry
24,60,61,794,3,Pineapple
27,67,36,801,0,Coriander Hybrid
28,54,45,951,0,Radish
29,77,46,703,4,Zucchini
27,56,37,856,0,Banana
35,58,47,781,2,Gram
29,63,40,718,3,Groundnut Red
31,79,53,826,2,Strawberry
30,72,52,727,2,Spinach Local
24,77,60,840,1,Linseed
31,59,37,760,3,Sugar Beet
34,63,60,835,0,Masoor Dal
23,58,54,786,2,Toria
35,66,58,850,1,Pumpkin Orange
28,58,65,875,1,Maize
22,80,64,878,2,Toria
24,60,56,716,3,Lentil Red
29,68,53,879,2,Watermelon Red
31,75,62,905,3,Bitter Gourd Hybrid
21,59,59,871,0,Coriander Hybrid
33,82,62,810,2,Watermelon Red
27,57,49,814,1,Celery
20,56,53,742,4,Niger
30,63,55,712,3,Linseed
23,60,65,865,1,Sunflower
25,68,47,897,4,Gram
35,72,40,774,1,Lentil Red
21,70,40,913,5,Urad Dal
26,79,60,767,3,Lettuce
30,77,57,961,4,Celery
32,65,47,909,0,Pearl Millet
29,82,50,704,3,Citrus
24,68,43,776,5,Ber
33,61,64,707,3,Chilli Hybrid
20,54,52,710,0,Peas
25,52,49,709,2,Wheat
33,80,56,912,3,Pumpkin Orange
30,57,41,839,3,Soybean
26,57,55,761,1,Pumpkin Orange
26,71,63,766,0,Lettuce
24,71,40,876,1,Papaya
28,68,61,739,1,Pomegranate
31,62,51,771,4,Moong Dal
25,75,36,794,2,Papaya
27,69,43,852,5,Maize Sweet
33,61,52,945,3,Urad Dal
31,55,61,815,4,Mango
27,61,49,900,3,Pineapple
30,76,49,924,2,Wheat
31,64,41,769,0,Masoor Dal
28,50,59,869,0,Broccoli
31,76,61,805,0,Ridge Gourd Green
25,67,42,920,5,Brinjal Long
31,72,37,871,5,Papaya
34,77,65,763,2,Pumpkin Orange
31,59,40,947,3,Plum
35,69,37,774,5,Mustard
25,60,45,805,3,Maize
28,58,57,948,3,Apple
23,82,48,757,3,Sorghum Hybrid
26,71,59,960,3,Mulberry
21,85,47,730,4,Cowpea
30,77,47,898,4,Mulberry
31,85,40,906,3,Amla
28,55,46,939,3,Zucchini
25,69,51,946,3,Safflower
33,54,57,776,3,Papaya
35,57,43,801,1,Guava
24,85,38,777,0,Rice
27,63,53,746,5,Zucchini
27,69,63,846,5,Rice
33,55,57,834,2,Cucumber
30,73,41,720,3,Brinjal Long
26,63,48,873,4,Pearl Millet
26,50,63,830,5,Brinjal Long
23,53,55,783,1,Apple
20,71,62,909,4,Citrus
20,74,44,719,3,Cowpea
25,62,53,824,1,Tomato Hybrid
20,84,47,949,2,Pumpkin Orange
34,75,65,799,5,Niger
32,71,55,953,2,Cabbage Early
25,51,58,912,0,Gram
24,74,64,958,0,Fenugreek Green
35,55,46,787,5,Bitter Gourd Hybrid
27,71,35,933,2,Castor
30,66,57,813,5,Peas
25,74,46,767,1,Soybean Hybrid
27,55,45,965,4,Wheat
32,52,51,936,3,Barley
33,74,65,968,0,Coriander Hybrid
29,51,65,877,0,Mustard
31,73,51,821,4,Plum
27,60,44,833,4,Tomato Hybrid
35,63,43,825,3,Zucchini
34,79,47,703,0,Zucchini
21,75,59,912,4,Linseed
21,56,54,906,1,Cucumber
28,75,48,855,2,Plum
30,61,37,956,3,Lettuce
33,73,54,709,4,Paddy
29,67,43,787,4,Lentil Red
20,51,55,956,5,Cucumber
31,68,50,788,5,Pineapple
24,71,55,716,4,Niger
28,63,63,874,1,Sugarcane
25,76,38,857,1,Mustard
34,64,36,704,2,Wheat Durum
22,70,64,853,3,Groundnut Red
21,72,54,936,4,Barley
31,76,41,805,3,Wheat Durum
25,57,55,750,3,Fenugreek Green
32,60,57,706,3,Chilli Hybrid
27,85,46,730,0,Cotton
33,78,54,904,1,Citrus
23,81,57,816,1,Pomegranate
28,60,42,907,0,Sorghum Hybrid
20,74,57,968,5,Litchi
20,65,51,944,2,Mint
28,52,36,705,2,Mulberry
35,68,54,786,0,Brinjal Long
26,85,55,756,5,Chilli Hybrid
28,67,44,887,4,Rice
31,70,37,744,3,Lentil Red
29,80,37,837,1,Linseed
26,52,61,799,1,Mustard
22,70,48,855,0,Rice
20,61,53,769,3,Rice Basmati
20,74,35,946,3,Sunflower
34,65,43,848,4,Litchi
23,68,49,834,0,Gram
21,58,53,755,5,Lentil Red
27,68,41,969,1,Mustard
25,81,60,841,1,Moong Dal
22,61,56,830,4,Mint
33,56,45,964,3,Masoor Dal
27,54,39,757,3,Pineapple
33,58,36,945,3,Amla
20,79,51,929,5,Sunflower
20,83,64,940,1,Lentil Red
32,77,49,888,2,Cauliflower Late
31,67,53,938,4,Sunflower
27,74,50,792,1,Capsicum Red
32,56,59,927,0,Amla
35,50,57,937,2,Ber
30,55,45,830,3,Barley
25,84,55,943,4,Citrus
33,76,50,772,1,Pear
32,56,61,925,2,Cotton
32,70,63,816,2,Maize Hybrid
32,76,53,831,2,Toria
34,71,47,777,2,Paddy
24,80,64,815,2,Spinach Local
24,50,62,933,4,Cotton
23,84,49,861,0,Plum
30,76,47,896,5,Peas
34,83,41,904,5,Spinach Local
35,82,42,842,5,Ridge Gourd Green
21,71,46,883,2,Cowpea
29,75,37,769,0,Brinjal Long
35,77,47,845,2,Ridge Gourd Green
34,59,43,876,2,Apple
21,56,57,730,4,Pomegranate
21,76,46,794,1,Mango
26,61,37,963,0,Bitter Gourd Hybrid
25,62,43,924,3,Fig
25,64,54,752,2,Maize Hybrid
26,66,39,959,4,Castor
20,82,54,934,5,Maize
29,77,40,798,4,Broccoli
27,72,54,871,2,Sugar Beet
30,81,51,749,0,Niger
35,82,48,770,3,Sugarcane
25,60,60,838,3,Chickpea
27,61,63,818,1,Pineapple
25,80,37,787,5,Lentil
30,66,41,933,1,Amla
29,80,49,879,2,Bitter Gourd Hybrid
26,60,50,969,2,Sugar Beet
29,58,42,804,4,Custard Apple
31,51,61,852,1,Guava
30,80,62,788,5,Fenugreek Green
32,57,40,770,0,Grapes
32,76,54,892,2,Ber
31,67,58,965,2,Moong Dal
31,74,45,889,4,Rice Basmati
22,82,53,716,3,Sugarcane
32,81,42,888,3,Amla
31,59,38,855,3,Urad Dal
20,52,50,756,1,Urad Dal
20,62,56,823,2,Mango
34,55,46,838,0,Sunflower
32,57,38,705,0,Strawberry
27,80,57,828,3,Pumpkin Orange
32,54,58,719,3,Cucumber
34,77,47,836,0,Cauliflower Late
20,71,56,876,3,Sorghum Hybrid
24,58,52,837,0,Brinjal Long
30,66,46,757,2,Cherry
28,62,52,897,5,Spinach Local
34,57,42,839,1,Ridge Gourd Green
35,84,51,899,0,Mustard
27,62,39,720,0,Maize Sweet
26,60,47,924,3,Ridge Gourd Green
27,51,38,886,2,Watermelon Red
31,56,64,848,2,Wheat Durum
26,72,51,816,2,Pear
31,73,39,711,4,Soybean Hybrid
30,80,47,819,4,Citrus
32,60,45,852,1,Beetroot
35,64,43,736,3,Watermelon Red
35,60,37,804,5,Bitter Gourd Hybrid
27,71,36,931,4,Urad Dal
34,59,63,779,5,Linseed
21,56,44,944,4,Guava
